# This file provides information to map coordinates from the BDGP release 5
# to release 6 assemblies.  The mapping is based on reciprocal best hit
# alignments.  Because of this some regions of release 5 that due to assembly
# artifacts are present in duplicate in other regions are absent from the
# mapping if the other region is contained in a better alignment.
#
# Coordinates in this file are represented as interbase for both releases.
# If you want on base (1-based) coordinates add 1 to each _start column.
#
# If the R6 strand is '-' it means that the R5 sequence needs to be reverse
# complemented to correspond to the R6 sequence and the start end coordinates
# for oriented features must also be reversed  eg. a gene that started at
# interbase coordinate 236880 of 2LHet in release 5 would start on the opposite
# strand at coordinate 1865892 of Y in release 6.
#
# r5_scaffold	r5_start	r5_end	r6_scaffold	r6_start	r6_end	r6_strand
U	3866213	3866246	3R	297133	297166	-
U	3866201	3866212	3R	297166	297177	-
U	3866189	3866200	3R	297177	297188	-
U	3866177	3866188	3R	297188	297199	-
U	3866152	3866176	3R	297199	297223	-
U	3866131	3866151	3R	297223	297243	-
U	3866113	3866130	3R	297243	297260	-
U	3866097	3866113	3R	297261	297277	-
U	3866085	3866096	3R	297277	297288	-
U	3866049	3866085	3R	297289	297325	-
U	3866041	3866049	3R	297326	297334	-
U	3866039	3866041	3R	297337	297339	-
U	3866028	3866039	3R	297346	297357	-
U	3865968	3866027	3R	297357	297416	-
U	3865956	3865967	3R	297416	297427	-
U	3865946	3865955	3R	297427	297436	-
U	3865932	3865945	3R	297436	297449	-
U	3865887	3865931	3R	297449	297493	-
U	3865818	3865886	3R	297493	297561	-
U	3865807	3865818	3R	297562	297573	-
U	3865781	3865807	3R	297574	297600	-
U	3865750	3865781	3R	297612	297643	-
U	3865738	3865749	3R	297643	297654	-
U	3865722	3865737	3R	297654	297669	-
U	3865721	3865722	3R	297679	297680	-
U	3865714	3865721	3R	297681	297688	-
U	3865584	3865713	3R	297688	297817	-
U	3865573	3865584	3R	297818	297829	-
U	3865562	3865572	3R	297829	297839	-
U	3865549	3865561	3R	297839	297851	-
U	3865525	3865548	3R	297851	297874	-
U	3865487	3865524	3R	297874	297911	-
U	3865485	3865487	3R	297912	297914	-
U	3865456	3865484	3R	297914	297942	-
U	3865445	3865455	3R	297942	297952	-
U	3865400	3865445	3R	297953	297998	-
U	3865397	3865400	3R	297999	298002	-
U	3865389	3865396	3R	298002	298009	-
U	3865378	3865389	3R	298010	298021	-
U	3865367	3865378	3R	298022	298033	-
U	3865335	3865367	3R	298034	298066	-
U	3865243	3865335	3R	298067	298159	-
U	3865219	3865242	3R	298159	298182	-
U	3865197	3865219	3R	298194	298216	-
U	3865142	3865196	3R	298216	298270	-
U	3865129	3865141	3R	298270	298282	-
U	3865117	3865128	3R	298282	298293	-
U	3865105	3865116	3R	298293	298304	-
U	3865093	3865104	3R	298304	298315	-
U	3865081	3865092	3R	298315	298326	-
U	3865069	3865080	3R	298326	298337	-
U	3865024	3865068	3R	298337	298381	-
U	3865002	3865023	3R	298381	298402	-
U	3864953	3865001	3R	298402	298450	-
U	3864896	3864952	3R	298450	298506	-
U	3864859	3864896	3R	298507	298544	-
U	3864800	3864842	3R	298544	298586	-
U	3864788	3864799	3R	298586	298597	-
U	3864755	3864788	3R	298598	298631	-
U	3864723	3864755	3R	298632	298664	-
U	3864667	3864723	3R	298665	298721	-
U	3864634	3864667	3R	298722	298755	-
U	3864631	3864634	3R	298756	298759	-
U	3864623	3864630	3R	298759	298766	-
U	3864612	3864623	3R	298767	298778	-
U	3864601	3864612	3R	298779	298790	-
U	3864590	3864601	3R	298791	298802	-
U	3864581	3864590	3R	298803	298812	-
U	3864544	3864580	3R	298812	298848	-
U	3864531	3864543	3R	298848	298860	-
U	3864519	3864530	3R	298860	298871	-
U	3864507	3864518	3R	298871	298882	-
U	3864495	3864506	3R	298882	298893	-
U	3864483	3864494	3R	298893	298904	-
U	3864471	3864482	3R	298904	298915	-
U	3864459	3864470	3R	298915	298926	-
U	3864414	3864458	3R	298926	298970	-
U	3864403	3864413	3R	298970	298980	-
U	3864379	3864403	3R	298981	299005	-
U	3864368	3864379	3R	299006	299017	-
U	3864345	3864368	3R	299018	299041	-
U	3864334	3864345	3R	299042	299053	-
U	3864290	3864334	3R	299054	299098	-
U	3864242	3864290	3R	299099	299147	-
U	3864184	3864241	3R	299147	299204	-
U	3864160	3864171	3R	299204	299215	-
U	3864025	3864159	3R	299215	299349	-
U	3863984	3864025	3R	299350	299391	-
U	3863960	3863983	3R	299391	299414	-
U	3863946	3863960	3R	299415	299429	-
U	3863937	3863946	3R	299430	299439	-
U	3863915	3863937	3R	299440	299462	-
U	3863893	3863915	3R	299463	299485	-
U	3863805	3863893	3R	299486	299574	-
U	3863757	3863805	3R	299575	299623	-
U	3863746	3863757	3R	299624	299635	-
U	3863735	3863746	3R	299636	299647	-
U	3863724	3863735	3R	299648	299659	-
U	3863667	3863724	3R	299660	299717	-
U	3863655	3863667	3R	299728	299740	-
U	3863631	3863654	3R	299740	299763	-
U	3863596	3863630	3R	299763	299797	-
U	3863584	3863595	3R	299797	299808	-
U	3863549	3863583	3R	299808	299842	-
U	3863520	3863548	3R	299842	299870	-
U	3863518	3863519	3R	299870	299871	-
U	3863510	3863515	3R	299871	299876	-
U	3863480	3863503	3R	299876	299899	-
U	3863435	3863480	3R	299900	299945	-
U	3863314	3863435	3R	299946	300067	-
U	3863281	3863314	3R	300068	300101	-
U	3863270	3863281	3R	300102	300113	-
U	3863259	3863270	3R	300114	300125	-
U	3863236	3863259	3R	300126	300149	-
U	3863212	3863235	3R	300149	300172	-
U	3863188	3863211	3R	300172	300195	-
U	3863176	3863187	3R	300195	300206	-
U	3863164	3863175	3R	300206	300217	-
U	3863140	3863163	3R	300217	300240	-
U	3863101	3863139	3R	300240	300278	-
U	3863099	3863101	3R	300280	300282	-
U	3863083	3863099	3R	300291	300307	-
U	3863058	3863083	3R	300308	300333	-
U	3863046	3863058	3R	300334	300346	-
U	3863044	3863046	3R	300351	300353	-
U	3863042	3863044	3R	300362	300364	-
U	3863026	3863042	3R	300373	300389	-
U	3863015	3863026	3R	300390	300401	-
U	3863004	3863015	3R	300402	300413	-
U	3862993	3863004	3R	300414	300425	-
U	3862982	3862993	3R	300426	300437	-
U	3862911	3862981	3R	300437	300507	-
U	3862902	3862911	3R	300508	300517	-
U	3862891	3862902	3R	300518	300529	-
U	3862854	3862890	3R	300529	300565	-
U	3862851	3862854	3R	300571	300574	-
U	3862779	3862851	3R	300580	300652	-
U	3862778	3862779	3R	300654	300655	-
U	3862741	3862778	3R	300676	300713	-
U	3862718	3862741	3R	300714	300737	-
U	3862639	3862718	3R	300738	300817	-
U	3862617	3862639	3R	300818	300840	-
U	3862605	3862616	3R	300840	300851	-
U	3862593	3862604	3R	300851	300862	-
U	3862427	3862593	3R	300873	301039	-
U	3862404	3862427	3R	301040	301063	-
U	3862374	3862404	3R	301075	301105	-
U	3862339	3862374	3R	301106	301141	-
U	3862317	3862338	3R	301141	301162	-
U	3862306	3862317	3R	301163	301174	-
U	3862295	3862306	3R	301175	301186	-
U	3862273	3862295	3R	301187	301209	-
U	3862255	3862272	3R	301209	301226	-
U	3862249	3862254	3R	301226	301231	-
U	3862198	3862248	3R	301231	301281	-
U	3862192	3862197	3R	301281	301286	-
U	3862168	3862191	3R	301286	301309	-
U	3861972	3862167	3R	301309	301504	-
U	3861966	3861972	3R	301505	301511	-
U	3861938	3861955	3R	301511	301528	-
U	3861928	3861938	3R	301529	301539	-
U	3861903	3861928	3R	301540	301565	-
U	3861894	3861903	3R	301566	301575	-
U	3861871	3861894	3R	301576	301599	-
U	3861802	3861871	3R	301600	301669	-
U	3861793	3861802	3R	301670	301679	-
U	3861785	3861792	3R	301679	301686	-
U	3861735	3861785	3R	301697	301747	-
U	3861712	3861734	3R	301747	301769	-
U	3861677	3861712	3R	301770	301805	-
U	3861645	3861677	3R	301818	301850	-
U	3861637	3861645	3R	301855	301863	-
U	3861626	3861637	3R	301864	301875	-
U	3861603	3861626	3R	301876	301899	-
U	3861592	3861603	3R	301900	301911	-
U	3861556	3861592	3R	301912	301948	-
U	3861315	3861556	3R	301949	302190	-
U	3860952	3861304	3R	302190	302542	-
U	3860852	3860951	3R	302542	302641	-
U	3860843	3860852	3R	302642	302651	-
U	3881832	3882652	3R	3972962	3973782	-
U	3878396	3881831	3R	3973782	3977217	-
U	3872549	3873276	3R	3982002	3982729	-
U	3868531	3871997	3R	3983182	3986648	-
U	3867970	3868477	3R	3986648	3987155	-
U	3883136	3896317	3R	689316	702497	+
U	3896317	3897089	3R	702498	703270	+
U	3897089	3898063	3R	703271	704245	+
U	3898063	3898092	3R	704246	704275	+
U	3913044	3913052	3R	327524	327532	-
U	3913031	3913042	3R	327532	327543	-
U	3913009	3913031	3R	327544	327566	-
U	3912893	3913009	3R	327567	327683	-
U	3912700	3912892	3R	327683	327875	-
U	3912664	3912699	3R	327875	327910	-
U	3912661	3912664	3R	327916	327919	-
U	3912640	3912661	3R	327922	327943	-
U	3912610	3912640	3R	327944	327974	-
U	3912605	3912610	3R	327985	327990	-
U	3912595	3912605	3R	327991	328001	-
U	3912512	3912595	3R	328003	328086	-
U	3912502	3912512	3R	328087	328097	-
U	3912480	3912502	3R	328098	328120	-
U	3912469	3912479	3R	328120	328130	-
U	3912468	3912469	3R	328134	328135	-
U	3912466	3912468	3R	328136	328138	-
U	3912443	3912466	3R	328143	328166	-
U	3912432	3912443	3R	328167	328178	-
U	3912409	3912431	3R	328178	328200	-
U	3912360	3912408	3R	328200	328248	-
U	3912359	3912360	3R	328253	328254	-
U	3912252	3912359	3R	328258	328365	-
U	3912243	3912252	3R	328366	328375	-
U	3912217	3912242	3R	328375	328400	-
U	3912207	3912217	3R	328401	328411	-
U	3912149	3912207	3R	328413	328471	-
U	3912030	3912149	3R	328472	328591	-
U	3912007	3912030	3R	328592	328615	-
U	3911995	3912007	3R	328616	328628	-
U	3911984	3911995	3R	328629	328640	-
U	3911949	3911984	3R	328641	328676	-
U	3911927	3911949	3R	328677	328699	-
U	3911915	3911927	3R	328700	328712	-
U	3907336	3911914	3R	328712	333290	-
U	3902225	3902243	3R	337393	337411	-
U	3899381	3902225	3R	337412	340256	-
U	3898192	3899222	3R	340503	341533	-
U	3956407	3956413	3R	529339	529345	-
U	4196363	4197295	3R	1641698	1642630	-
U	4183770	4196363	3R	1642631	1655224	-
U	4859852	4865825	3R	228151	234124	+
U	4865826	4865968	3R	234124	234266	+
U	4865968	4865975	3R	234267	234274	+
U	4868133	4870184	3R	235721	237772	+
U	4870185	4873435	3R	237772	241022	+
U	4873435	4873505	3R	241023	241093	+
U	4876658	4879560	3R	243672	246574	+
U	4879560	4880110	3R	271900	272450	+
U	4865995	4866887	3R	247183	248075	+
U	4866888	4866910	3R	248075	248097	+
U	4866910	4866921	3R	248098	248109	+
U	4866921	4866968	3R	248110	248157	+
U	4866968	4866979	3R	248158	248169	+
U	4866979	4866990	3R	248170	248181	+
U	4866990	4867001	3R	248182	248193	+
U	4867001	4867024	3R	248194	248217	+
U	4867024	4867046	3R	248218	248240	+
U	4867046	4867057	3R	248241	248252	+
U	4867058	4867104	3R	248252	248298	+
U	4867104	4867138	3R	248299	248333	+
U	4867138	4867185	3R	248344	248391	+
U	4867186	4867220	3R	248391	248425	+
U	4867220	4867242	3R	248426	248448	+
U	4867242	4867276	3R	248449	248483	+
U	4867276	4867288	3R	248484	248496	+
U	4867288	4867358	3R	248507	248577	+
U	4867359	4867368	3R	248577	248586	+
U	5635826	5637882	3R	3220767	3222823	+
U	5637883	5641512	3R	3222823	3226452	+
U	5641515	5641982	3R	3226452	3226919	+
U	5672781	5672792	3R	360313	360324	+
U	5672792	5672803	3R	360325	360336	+
U	5672803	5678456	3R	360337	365990	+
U	5815876	5821142	3R	1111501	1116767	+
U	5923414	5928243	3R	668663	673492	+
U	5943068	5943086	3R	725061	725079	+
U	5943086	5943738	3R	725080	725732	+
U	5943739	5943745	3R	725732	725738	+
U	5943746	5943796	3R	725738	725788	+
U	5943797	5947857	3R	725788	729848	+
U	6097756	6099366	3R	273532	275142	-
U	6097710	6097755	3R	275143	275188	-
U	6097605	6097709	3R	275189	275293	-
U	6097205	6097227	3R	270363	270385	-
U	6097159	6097204	3R	270385	270430	-
U	6097135	6097158	3R	270430	270453	-
U	6097125	6097134	3R	270453	270462	-
U	6097109	6097125	3R	270463	270479	-
U	6097066	6097108	3R	270479	270521	-
U	6097055	6097066	3R	270522	270533	-
U	6097046	6097055	3R	270534	270543	-
U	6097044	6097045	3R	270543	270544	-
U	6097032	6097043	3R	270545	270556	-
U	6097022	6097031	3R	270556	270565	-
U	6097020	6097021	3R	270565	270566	-
U	6097008	6097019	3R	270567	270578	-
U	6096996	6097007	3R	270579	270590	-
U	6096986	6096995	3R	270591	270600	-
U	6096984	6096985	3R	270600	270601	-
U	6096972	6096983	3R	270602	270613	-
U	6096962	6096971	3R	270613	270622	-
U	6096948	6096961	3R	270622	270635	-
U	6096924	6096947	3R	270635	270658	-
U	6096912	6096923	3R	270658	270669	-
U	6096900	6096911	3R	270669	270680	-
U	6096879	6096900	3R	270681	270702	-
U	6096874	6096879	3R	270703	270708	-
U	6096664	6096873	3R	270708	270917	-
U	6096661	6096664	3R	270918	270921	-
U	6096656	6096660	3R	270921	270925	-
U	6096641	6096655	3R	270926	270940	-
U	6096633	6096636	3R	270945	270948	-
U	6096626	6096628	3R	270953	270955	-
U	6096620	6096625	3R	270956	270961	-
U	6096610	6096620	3R	270962	270972	-
U	6096356	6096609	3R	270973	271226	-
U	6095988	6096355	3R	271227	271594	-
U	6100282	6100310	3R	275444	275472	-
U	6100271	6100282	3R	275473	275484	-
U	6100248	6100270	3R	275484	275506	-
U	6100208	6100248	3R	275507	275547	-
U	6100156	6100208	3R	275557	275609	-
U	6100144	6100155	3R	275609	275620	-
U	6100133	6100144	3R	275621	275632	-
U	6100098	6100132	3R	275632	275666	-
U	6100075	6100098	3R	275667	275690	-
U	6100069	6100075	3R	275691	275697	-
U	6100043	6100068	3R	275697	275722	-
U	6099984	6100042	3R	275722	275780	-
U	6099973	6099984	3R	275781	275792	-
U	6099962	6099973	3R	275793	275804	-
U	6099951	6099962	3R	275805	275816	-
U	6099940	6099951	3R	275817	275828	-
U	6099929	6099940	3R	275829	275840	-
U	6099918	6099929	3R	275841	275852	-
U	6099895	6099918	3R	275853	275876	-
U	6099860	6099895	3R	275877	275912	-
U	6099806	6099860	3R	275913	275967	-
U	6099736	6099805	3R	275967	276036	-
U	6099684	6099735	3R	276036	276087	-
U	6099656	6099683	3R	276087	276114	-
U	6099620	6099655	3R	276114	276149	-
U	6099608	6099619	3R	276149	276160	-
U	6099599	6099607	3R	276160	276168	-
U	6099593	6099599	3R	276169	276175	-
U	6099584	6099592	3R	276175	276183	-
U	6099581	6099584	3R	276188	276191	-
U	6099579	6099581	3R	276196	276198	-
U	6099564	6099579	3R	276199	276214	-
U	6099506	6099564	3R	276215	276273	-
U	6099494	6099505	3R	276273	276284	-
U	6099482	6099493	3R	276284	276295	-
U	6099386	6099481	3R	276295	276390	-
U	6099366	6099385	3R	276390	276409	-
U	6166331	6166845	3R	384688	385202	+
U	6193249	6194926	3R	673492	675169	-
U	6191410	6193248	3R	675169	677007	-
U	6191365	6191410	3R	677008	677053	-
U	6195576	6199117	3R	665122	668663	+
U	6314199	6317999	3R	504825	508625	+
U	6318000	6318071	3R	508625	508696	+
U	6664265	6667524	3R	3101544	3104803	+
U	7104805	7104821	3R	3293542	3293558	+
U	7104821	7104830	3R	3293559	3293568	+
U	7104830	7107459	3R	3293569	3296198	+
U	7107461	7107598	3R	3296198	3296335	+
U	7382489	7383127	3R	393103	393741	+
U	7383918	7385010	3R	394669	395761	+
U	7421381	7421464	3R	3104950	3105033	-
U	7420593	7421381	3R	3105034	3105822	-
U	7666620	7666632	3R	730517	730529	+
U	7666632	7668278	3R	730530	732176	+
U	7668278	7668344	3R	732206	732272	+
U	7668344	7668864	3R	732273	732793	+
U	7668864	7668888	3R	732794	732818	+
U	7788809	7789419	3R	3662061	3662671	+
U	7789419	7789423	3R	3662696	3662700	+
U	7790415	7790943	3R	3663699	3664227	+
U	7907278	7907792	3R	201398	201912	+
U	8463714	8463752	3R	1766540	1766578	+
U	8721406	8722188	3R	621090	621872	+
U	9123482	9124678	3R	2049882	2051078	-
U	9249070	9250235	3R	3422397	3423562	+
U	9292334	9293100	3R	2048155	2048921	+
U	9291943	9292334	3R	2055794	2056185	+
U	9389271	9389831	3R	3815902	3816462	+
U	9468007	9468438	3R	1764081	1764512	+
U	9468438	9468443	3R	1764516	1764521	+
U	9468443	9468444	3R	1764523	1764524	+
U	9468444	9468613	3R	1764526	1764695	+
U	9468613	9468638	3R	1764722	1764747	+
U	9468638	9468774	3R	1764756	1764892	+
U	9468774	9469130	3R	1764893	1765249	+
U	2291702	2293359	3R	276409	278066	-
U	2285870	2291499	3R	278338	283967	-
U	2285838	2285869	3R	283967	283998	-
U	2291633	2291702	3R	252590	252659	-
U	2291599	2291633	3R	252660	252694	-
U	2291577	2291599	3R	252695	252717	-
U	2291575	2291577	3R	252718	252720	-
U	2291555	2291566	3R	252729	252740	-
U	2291533	2291555	3R	252741	252763	-
U	2291515	2291533	3R	252764	252782	-
U	3505065	3505096	3R	201912	201943	-
U	3505053	3505064	3R	201943	201954	-
U	3505041	3505052	3R	201954	201965	-
U	3505029	3505040	3R	201965	201976	-
U	3504994	3505028	3R	201976	202010	-
U	3504983	3504994	3R	202011	202022	-
U	3504972	3504983	3R	202023	202034	-
U	3504950	3504972	3R	202035	202057	-
U	3504748	3504950	3R	202058	202260	-
U	3504743	3504748	3R	202261	202266	-
U	3504733	3504737	3R	202266	202270	-
U	3504715	3504730	3R	202270	202285	-
U	3504701	3504715	3R	202286	202300	-
U	3504692	3504700	3R	202300	202308	-
U	3504657	3504692	3R	202309	202344	-
U	3504646	3504657	3R	202345	202356	-
U	3504635	3504646	3R	202357	202368	-
U	3504624	3504635	3R	202369	202380	-
U	3504601	3504624	3R	202381	202404	-
U	3504590	3504601	3R	202405	202416	-
U	3504579	3504590	3R	202417	202428	-
U	3500033	3504579	3R	202429	206975	-
U	3496997	3497008	3R	210773	210784	-
U	3496858	3496997	3R	210785	210924	-
U	3496847	3496858	3R	210925	210936	-
U	3496841	3496847	3R	210937	210943	-
U	3496839	3496841	3R	210949	210951	-
U	3496771	3496839	3R	210956	211024	-
U	3496748	3496770	3R	211024	211046	-
U	3496735	3496747	3R	211046	211058	-
U	3496723	3496734	3R	211058	211069	-
U	3496687	3496722	3R	211069	211104	-
U	3496639	3496686	3R	211104	211151	-
U	3496583	3496639	3R	211152	211208	-
U	3496549	3496582	3R	211208	211241	-
U	3496537	3496548	3R	211241	211252	-
U	3496516	3496536	3R	211252	211272	-
U	3496458	3496515	3R	211272	211329	-
U	3496433	3496457	3R	211329	211353	-
U	3496410	3496432	3R	211353	211375	-
U	3496344	3496410	3R	211376	211442	-
U	3496333	3496344	3R	211443	211454	-
U	3496323	3496333	3R	211455	211465	-
U	3496275	3496323	3R	211466	211514	-
U	3496265	3496274	3R	211514	211523	-
U	3496195	3496265	3R	211524	211594	-
U	3496184	3496195	3R	211595	211606	-
U	3496151	3496184	3R	211607	211640	-
U	3496128	3496151	3R	211641	211664	-
U	3496117	3496128	3R	211665	211676	-
U	3496106	3496117	3R	211677	211688	-
U	3496090	3496106	3R	211689	211705	-
U	3496073	3496090	3R	211706	211723	-
U	3496016	3496072	3R	211723	211779	-
U	3495984	3496016	3R	211780	211812	-
U	3495971	3495984	3R	211813	211826	-
U	3495960	3495971	3R	211827	211838	-
U	3495927	3495960	3R	211839	211872	-
U	3495915	3495926	3R	211872	211883	-
U	3495901	3495914	3R	211883	211896	-
U	3495894	3495896	3R	211896	211898	-
U	3495869	3495888	3R	211898	211917	-
U	3495857	3495868	3R	211917	211928	-
U	3495851	3495856	3R	211928	211933	-
U	3495845	3495850	3R	211933	211938	-
U	3495834	3495845	3R	211939	211950	-
U	3495822	3495833	3R	211950	211961	-
U	3495812	3495821	3R	211961	211970	-
U	3495806	3495808	3R	211970	211972	-
U	3495801	3495804	3R	211972	211975	-
U	3495791	3495800	3R	211975	211984	-
U	3495775	3495780	3R	211984	211989	-
U	3495717	3495774	3R	211989	212046	-
U	3495705	3495716	3R	212046	212057	-
U	3495695	3495704	3R	212057	212066	-
U	3495681	3495694	3R	212066	212079	-
U	3495671	3495680	3R	212079	212088	-
U	3495660	3495661	3R	212088	212089	-
U	3495602	3495658	3R	212089	212145	-
U	3495590	3495601	3R	212145	212156	-
U	3495543	3495589	3R	212156	212202	-
U	3495531	3495542	3R	212202	212213	-
U	3495508	3495530	3R	212213	212235	-
U	3495404	3495508	3R	212236	212340	-
U	3495402	3495403	3R	212340	212341	-
U	3495381	3495397	3R	212341	212357	-
U	3495369	3495381	3R	212358	212370	-
U	3495357	3495368	3R	212370	212381	-
U	3495346	3495357	3R	212382	212393	-
U	3495323	3495346	3R	212394	212417	-
U	3495257	3495323	3R	212418	212484	-
U	3495246	3495257	3R	212485	212496	-
U	3495235	3495246	3R	212497	212508	-
U	3495191	3495235	3R	212509	212553	-
U	3495179	3495190	3R	212553	212564	-
U	3495134	3495178	3R	212564	212608	-
U	3495100	3495133	3R	212608	212641	-
U	3495022	3495099	3R	212641	212718	-
U	3495019	3495022	3R	212719	212722	-
U	3495012	3495018	3R	212722	212728	-
U	3494977	3495011	3R	212728	212762	-
U	3494965	3494976	3R	212762	212773	-
U	3494861	3494964	3R	212773	212876	-
U	3494849	3494860	3R	212876	212887	-
U	3494804	3494849	3R	212897	212942	-
U	3494782	3494804	3R	212943	212965	-
U	3494771	3494782	3R	212966	212977	-
U	3494760	3494771	3R	212978	212989	-
U	3494738	3494760	3R	212990	213012	-
U	3494727	3494738	3R	213013	213024	-
U	3494650	3494727	3R	213025	213102	-
U	3494635	3494650	3R	213103	213118	-
U	3494606	3494635	3R	213119	213148	-
U	3494572	3494605	3R	213148	213181	-
U	3494562	3494571	3R	213181	213190	-
U	3494537	3494561	3R	213190	213214	-
U	3494513	3494537	3R	213215	213239	-
U	3494509	3494512	3R	213239	213242	-
U	3494460	3494509	3R	213243	213292	-
U	3494452	3494460	3R	213293	213301	-
U	3494437	3494452	3R	213303	213318	-
U	3494403	3494437	3R	213319	213353	-
U	3494390	3494403	3R	213354	213367	-
U	3494380	3494389	3R	213367	213376	-
U	3494368	3494379	3R	213376	213387	-
U	3494345	3494367	3R	213387	213409	-
U	3494310	3494344	3R	213409	213443	-
U	3494304	3494310	3R	213444	213450	-
U	3494209	3494303	3R	213450	213544	-
U	3494198	3494209	3R	213545	213556	-
U	3494187	3494198	3R	213557	213568	-
U	3494176	3494187	3R	213569	213580	-
U	3494131	3494176	3R	213581	213626	-
U	3494120	3494131	3R	213627	213638	-
U	3494098	3494120	3R	213639	213661	-
U	3494064	3494097	3R	213661	213694	-
U	3494056	3494063	3R	213694	213701	-
U	3494006	3494054	3R	213701	213749	-
U	3493948	3494005	3R	213749	213806	-
U	3493914	3493948	3R	213807	213841	-
U	3493907	3493913	3R	213841	213847	-
U	3493859	3493907	3R	213848	213896	-
U	3493847	3493858	3R	213896	213907	-
U	3493813	3493846	3R	213907	213940	-
U	3493801	3493812	3R	213940	213951	-
U	3493789	3493800	3R	213951	213962	-
U	3493773	3493788	3R	213962	213977	-
U	3493732	3493772	3R	213977	214017	-
U	3493720	3493731	3R	214017	214028	-
U	3493715	3493719	3R	214028	214032	-
U	3493696	3493704	3R	214032	214040	-
U	3493685	3493696	3R	214041	214052	-
U	3493635	3493685	3R	214053	214103	-
U	3493575	3493634	3R	214103	214162	-
U	3493567	3493569	3R	214162	214164	-
U	3493551	3493562	3R	214164	214175	-
U	3493539	3493550	3R	214175	214186	-
U	3493516	3493538	3R	214186	214208	-
U	3493494	3493516	3R	214209	214231	-
U	3493483	3493494	3R	214232	214243	-
U	3493472	3493483	3R	214244	214255	-
U	3493450	3493472	3R	214256	214278	-
U	3493440	3493450	3R	214279	214289	-
U	3493428	3493440	3R	214290	214302	-
U	3493417	3493428	3R	214303	214314	-
U	3493384	3493417	3R	214315	214348	-
U	3493380	3493383	3R	214348	214351	-
U	3493351	3493380	3R	214352	214381	-
U	3493340	3493350	3R	214381	214391	-
U	3493317	3493340	3R	214392	214415	-
U	3493305	3493316	3R	214415	214426	-
U	3493194	3493304	3R	214426	214536	-
U	3493183	3493194	3R	214537	214548	-
U	3493145	3493182	3R	214548	214585	-
U	3493137	3493145	3R	214596	214604	-
U	3493067	3493137	3R	214605	214675	-
U	3493051	3493066	3R	214675	214690	-
U	3493048	3493050	3R	214690	214692	-
U	3493033	3493048	3R	214693	214708	-
U	3492976	3493033	3R	214709	214766	-
U	3492965	3492976	3R	214767	214778	-
U	3492953	3492964	3R	214778	214789	-
U	3492820	3492953	3R	214790	214923	-
U	3492809	3492819	3R	214923	214933	-
U	3492808	3492809	3R	214934	214935	-
U	3492791	3492808	3R	214936	214953	-
U	3492764	3492791	3R	214965	214992	-
U	3492729	3492764	3R	214993	215028	-
U	3492705	3492728	3R	215028	215051	-
U	3492704	3492705	3R	215053	215054	-
U	3492699	3492704	3R	215058	215063	-
U	3492693	3492699	3R	215070	215076	-
U	3492591	3492693	3R	215087	215189	-
U	3492586	3492590	3R	215189	215193	-
U	3492574	3492576	3R	215193	215195	-
U	3492545	3492573	3R	215195	215223	-
U	3492454	3492545	3R	215224	215315	-
U	3492423	3492454	3R	215326	215357	-
U	3492329	3492422	3R	215357	215450	-
U	3492305	3492329	3R	215451	215475	-
U	3492304	3492305	3R	215485	215486	-
U	3492243	3492304	3R	215487	215548	-
U	3492238	3492242	3R	215548	215552	-
U	3492224	3492237	3R	215552	215565	-
U	3492212	3492216	3R	215565	215569	-
U	3492190	3492208	3R	215569	215587	-
U	3492179	3492190	3R	215588	215599	-
U	3492157	3492179	3R	215600	215622	-
U	3492134	3492156	3R	215622	215644	-
U	3492024	3492122	3R	215644	215742	-
U	3492011	3492024	3R	215743	215756	-
U	3492004	3492011	3R	215757	215764	-
U	3491989	3492004	3R	215766	215781	-
U	3491979	3491989	3R	215782	215792	-
U	3491969	3491978	3R	215792	215801	-
U	3491966	3491969	3R	215803	215806	-
U	3491941	3491965	3R	215806	215830	-
U	3491931	3491940	3R	215830	215839	-
U	3491919	3491930	3R	215839	215850	-
U	3491907	3491918	3R	215850	215861	-
U	3491895	3491906	3R	215861	215872	-
U	3491874	3491894	3R	215872	215892	-
U	3491859	3491874	3R	215894	215909	-
U	3491856	3491859	3R	215914	215917	-
U	3491854	3491856	3R	215918	215920	-
U	3491838	3491854	3R	215925	215941	-
U	3491758	3491838	3R	215942	216022	-
U	3491746	3491757	3R	216022	216033	-
U	3491740	3491746	3R	216034	216040	-
U	3491691	3491739	3R	216040	216088	-
U	3491682	3491691	3R	216089	216098	-
U	3491658	3491682	3R	216099	216123	-
U	3491646	3491657	3R	216123	216134	-
U	3491638	3491642	3R	216134	216138	-
U	3491627	3491637	3R	216138	216148	-
U	3491592	3491623	3R	216148	216179	-
U	3491576	3491590	3R	216179	216193	-
U	3491564	3491575	3R	216193	216204	-
U	3491465	3491564	3R	216205	216304	-
U	3491426	3491463	3R	216304	216341	-
U	3491414	3491425	3R	216341	216352	-
U	3491369	3491413	3R	216352	216396	-
U	3491347	3491369	3R	216397	216419	-
U	3491325	3491346	3R	216419	216440	-
U	3491317	3491324	3R	216440	216447	-
U	3491257	3491317	3R	216448	216508	-
U	3491234	3491256	3R	216508	216530	-
U	3491227	3491234	3R	216531	216538	-
U	3491223	3491227	3R	216540	216544	-
U	3491199	3491222	3R	216544	216567	-
U	3491164	3491198	3R	216567	216601	-
U	3491158	3491164	3R	216602	216608	-
U	3491153	3491157	3R	216608	216612	-
U	3491141	3491152	3R	216612	216623	-
